type,geometry_type,geometry_coordinates,properties_state,properties_code,properties_name,properties_zone,properties_address,geometry
Feature,Point,"[87.89303199999999, 26.044989]",,HWR,HATWAR,,,
Feature,Point,"[87.9308854236, 26.0849205699]",,THED,TAUHEED,,,
Feature,Point,"[87.949657, 26.097746]",,KNE,KISHANGANJ,,,
Feature,Point,"[88.0180577417, 26.140165652700002]",,PJP,PANJIPARA,,,
Feature,,,,IKC,IKARCHALA,,,
Feature,Point,"[88.0895072131, 26.1848261159]",,GIL,GAISAL,,,
Feature,Point,"[88.132222, 26.218465000000002]",,GEOR,GUNJARIA,,,
Feature,Point,"[88.18561000000001, 26.269681]",,AUB,ALUABARI ROAD,,,
Feature,Point,"[88.231234, 26.361571]",,DBQ,DHULABARI,,,
Feature,Point,"[88.256909, 26.412488]",,MXJ,MANGURJAN,,,
Feature,Point,"[88.279995, 26.436601]",,TMH,TIN MILE HAT,,,
Feature,Point,"[88.296508, 26.47724]",,DMZ,DUMDANGI,,,
Feature,Point,"[88.323376, 26.548827]",,CAT,CHATTAR HAT,,,
Feature,Point,"[88.337505, 26.587597]",,NJB,NIJBARI,,,
Feature,Point,"[88.37438599999999, 26.664263000000002]",,RNI,RANGAPANI,,,
